VARIABLE NAME,LABEL,RELATED PUF CONSTRUCT,SUGGESTED CONSTRUCT,CHIS 2023,CHIS 2021-2022,CHIS 2022,CHIS 2021,CHIS 2019-2020,CHIS 2020,CHIS 2019,CHIS 2017-2018,CHIS 2018,CHIS 2017,CHIS 2015-2016,CHIS 2016,CHIS 2015,CHIS 2013-2014,CHIS 2014,CHIS 2013,CHIS 2011-2012,CHIS 2012,CHIS 2011,CHIS 2009,CHIS 2007,CHIS 2005,CHIS 2003,CHIS 2001,NOTES,
SECTION Q,SCREENING INFORMATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADLTCNT,# OF ADULTS IN HOUSEHOLD,,HH_SIZE,,,,,,,,,,,,,,,,,,,,,,,,,"VARIABLE CAPTURES ADULTS IN HH ELIGIBLE FOR SURVEY; VARIABLE CAPTURES ADULTS IN HH ELIGIBLE
FOR SURVEY; VARIABLE CAPTURES ADULTS IN HH ELIGIBLE

FOR SURVEY;",
AGEGRP_A,AGE GROUP OF ADULT,AGEGPA_P1,,,,,,,,,,,,,,,,,,,,,,,,,,NOT AVAILABLE IN CHIS 2012; NOT AVAILABLE IN CHIS 2012 1-YEAR PUF; SEE SRSEX_A,
AHEDUC,ADULT EDUCATIONAL ATTAINMENT,AHEDTC_P1,,x,,x,x,,,,,,,,,,,,,,,,,,,,N/A,,
ARINFO2V2,SOURCE OF ADULT INFORMATION (ADULT RESPONDENT OR SKA ADULT),,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,PREVIOUS VERSION: ARINFO2. NEW VERSION DUE TO DROPPING OF CHILD FIRST IN 2021.,
CHLDCNT,# OF ELIGIBLE CHILDREN 0-11 IN HOUSEHOLD,,KIDCNT,,,,,,,,,,,,,,,,,,,,,,,,,"VARIABLE CAPTURES CHILDREN IN HH ELIGIBLE FOR SURVEY; VARIABLE CAPTURES CHILDREN IN HH ELIGIBLE
FOR SURVEY; VARIABLE CAPTURES CHILDREN IN HH ELIGIBLE

FOR SURVEY;",
FAM_SIZE,FAMILY SIZE,FAMSIZE2_P1V2,,,,,,,,,,,,,,,,,,,,,,,,,,"DUE TO A CONSTRUCT CHANGE, THIS VARIABLE IS NOT TRENDABLE WITH 2016 AND EARLIER YEARS.; DUE TO A CONSTRUCT CHANGE, THIS VARIABLE
IS NOT TRENDABLE WITH 2016 AND EARLIER
YEARS.;",
FAM_SIZE2,FAMILY SIZE: INCLUDES ALL PEOPLE SUPPORTED BY HH INCOME,FAMSIZE2_P1,,,,,,,,,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"MAY INCLUDE INDIVIDUALS NOT IN HOUSEHOLD BUT ARE SUPPORTED BY HOUSEHOLD INCOME; MAY INCLUDE INDIVIDUALS NOT IN HOUSEHOLD
BUT ARE SUPPORTED BY HOUSEHOLD INCOME; MAY INCLUDE INDIVIDUALS NOT IN HOUSEHOLD

BUT ARE SUPPORTED BY HOUSEHOLD INCOME",
FAM_TYPE,FAMILY TYPE,,FAMT4,,,,,,,,,,,,,,,,,,,,,,,,,"""SINGLE"" CATEGORIES INCLUDE MARRIED ADULT OR NOT LIVING WITH SPOUSE.; ""SINGLE"" CATEGORIES INCLUDE MARRIED
ADULT OR NOT LIVING WITH SPOUSE.; ""SINGLE"" CATEGORIES INCLUDE MARRIED

ADULT OR NOT LIVING WITH SPOUSE.; ""SINGLE"" CATEGORIES INCLUDE MARRIED ADULT R NOT LIVING WITH SPOUSE.",
FAMT4,FAMILY TYPE (4 LVLS),,,,,,,,,,,,,,,,,,,,,,,,,,,"""SINGLE"" CATEGORIES INCLUDE MARRIED ADULT OR NOT LIVING WITH SPOUSE.; ""SINGLE"" CATEGORIES INCLUDE MARRIED
ADULT OR NOT LIVING WITH SPOUSE.; ""SINGLE"" CATEGORIES INCLUDE MARRIED

ADULT OR NOT LIVING WITH SPOUSE.; ""SINGLE"" CATEGORIES INCLUDE MARRIED ADULT R NOT LIVING WITH SPOUSE.",
HH_SIZE,HOUSEHOLD SIZE,HHSIZE_P; HHSIZE_P1; HHSIZE_P1V2,,,,,,,,,,,,,,,,,,,,,,,,,,ADLTCNT + KIDCNT,
FAMCNT,HOUSEHOLD SIZE COUNT,,,,,,,,,,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"VARIABLE CAPTURES PERSONS IN HH ELIGIBLE FOR SURVEY; VARIABLE CAPTURES PERSONS IN HH ELIGIBLE
FOR SURVEY",
INTVLANG2,LANGUAGE OF INTERVIEW,,,,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
INTVLANG3,LANGUAGE OF INTERVIEW,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
KIDCNT,COUNT OF ALL CHILDREN AND TEENS ENUMERATED IN HH,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,CHLDCNT + TEENCNT (ELIGIBLE + INELIGIBLE); CHLDHH + TEENHH (ELIGIBLE + INELIGIBLE); CHLDHH  + TEENHH (ELIGIBLE + INELIGIBLE); ELIGIBLE + INEGLIGIBLE,
POVGWD,FAMILY POVERTY THRESHOLD LEVEL,POVGWD_P; POVGWD_P1,,X,,X,X,,,,,,,,,,,,,,,,,,,N/A,N/A,TOPCODE=24,
